"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72464603028","2025-01-23","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  20.8","18","   8.6","18","1032.9","18","877.0","18","999.9"," 0"," 11.1","18"," 21.0"," 26.0","  30.9","*","  10.9","*"," 0.00","I","999.9","000000"
"72464603028","2025-01-24","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  27.1","24","   7.0","24","1021.2","24","867.4","24","999.9"," 0","  7.7","24"," 13.0","999.9","  54.0","*","   9.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-25","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  27.3","24","  19.8","24","1018.3","24","866.4","24","999.9"," 0"," 11.5","24"," 17.1","999.9","  37.0","*","  23.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-26","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  26.2","24","  15.9","24","1026.0","24","871.9","24","999.9"," 0","  9.0","24"," 20.0"," 26.0","  41.0","*","  17.1","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-27","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  29.2","24","  16.9","24","1023.4","24","870.0","24","999.9"," 0","  5.7","24","  9.9","999.9","  59.0","*","  12.9","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-28","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  34.8","24","  18.1","24","1017.9","24","866.7","24","999.9"," 0","  6.3","24"," 12.0","999.9","  54.0","*","  19.9","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-29","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  32.0","23","  20.4","23","1015.3","23","864.3","23","999.9"," 0","  5.9","23","  8.9","999.9","  46.0","*","  19.9","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-30","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  30.1","24","  28.4","24","1007.8","24","857.7","24","999.9"," 0","  9.0","23"," 22.0"," 27.0","  37.0","*","  19.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-01-31","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  39.8","24","  17.8","24","1016.2","24","865.4","24","999.9"," 0"," 11.4","24"," 17.1"," 22.9","  61.0","*","  23.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-01","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  43.7","24","  11.3","24","1012.0","24","863.0","24","999.9"," 0","  7.6","24"," 15.9","999.9","  60.1","*","  30.9","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-02","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  42.0","24","  18.9","24","1011.8","24","862.6","24","999.9"," 0","  7.4","24"," 22.0"," 26.0","  72.0","*","  24.1","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-03","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  58.8","24","  24.2","24","1009.1","24","862.4","24","999.9"," 0"," 10.9","24"," 15.9"," 24.1","  78.1","*","  43.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-04","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  27.7","24","  17.1","24","1019.2","24","868.2","24","999.9"," 0","  7.9","24"," 15.0"," 22.9","  48.0","*","  15.1","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-05","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  40.7","24","  20.6","24","1011.4","24","861.0","24","999.9"," 0"," 13.6","24"," 31.1"," 49.0","9999.9"," ","  17.1","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-06","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  44.1","24","  17.3","24","1011.3","24","863.3","24","999.9"," 0"," 10.6","24"," 15.9"," 25.1","  57.0","*","  28.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-07","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  30.3","20","  24.4","20","1014.2","20","863.2","20","999.9"," 0","  7.1","20"," 18.1"," 22.9","  59.0","*","  21.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-08","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  40.2","24","  20.0","24","1013.9","19","863.1","24","999.9"," 0"," 11.9","24"," 24.1"," 38.1","  53.1","*","  21.9","*"," 0.00","G","999.9","000000"
"72464603028","2025-02-15","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  30.9","16","  29.0","15","1012.8"," 5","861.2","16","999.9"," 0"," 11.7","16"," 17.1"," 27.0","  37.0","*","  27.0","*"," 0.00","G","999.9","000000"
"72464603028","2025-03-04","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  39.7","15","  33.4","15","9999.9"," 0","849.2","15","999.9"," 0"," 34.3","15"," 45.1"," 60.0","  45.0","*","  36.0","*"," 0.04","G","999.9","000000"
"72464603028","2025-03-05","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  55.5"," 4","  22.7"," 4","9999.9"," 0","863.5"," 4","999.9"," 0"," 10.5"," 4"," 27.0"," 34.0","  57.0","*","  51.1","*"," 0.00","I","999.9","000000"
"72464603028","2025-03-06","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  47.8","24","  23.3","24","1001.1","17","856.8","24","999.9"," 0"," 17.1","24"," 28.0"," 39.0","  68.0","*","  37.9","*"," 0.98","G","999.9","000000"
"72464603028","2025-03-07","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","  46.5","24","  18.6","24","1002.5","23","855.8","24","999.9"," 0"," 14.1","24"," 22.0"," 33.0","  55.9","*","  30.0","*"," 0.00","G","999.9","000000"
