"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72090300441","2025-01-01","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  35.1","24","  28.1","24","9999.9"," 0","005.2","19","  9.9","24"," 12.0","24"," 21.0"," 26.0","  40.1"," ","  32.0"," "," 0.10","G","999.9","010000"
"72090300441","2025-01-02","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  34.0","24","  26.3","24","9999.9"," 0","009.0","24"," 10.0","24","  5.0","24","  8.9","999.9","  41.0"," ","  29.1"," "," 0.03","G","999.9","000000"
"72090300441","2025-01-03","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  33.2","24","  24.4","24","9999.9"," 0","008.0","24"," 10.0","24","  9.1","24"," 19.0"," 26.0","  38.5"," ","  28.0"," "," 0.00","G","999.9","010000"
"72090300441","2025-01-04","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  23.6","24","  13.9","24","9999.9"," 0","012.2","24"," 10.0","24","  6.4","24"," 15.0"," 22.0","  28.8"," ","  18.3"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-05","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  25.7","24","  19.0","24","9999.9"," 0","006.3","24","  5.7","24","  5.0","24"," 19.0"," 24.1","  27.3"," ","  23.4"," "," 0.11","B","999.9","001000"
"72090300441","2025-01-06","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  25.1","24","  21.3","24","9999.9"," 0","996.3","24","  5.6","24","  9.9","24"," 17.1"," 21.0","  27.9"," ","  22.5"," "," 0.03","A","999.9","011000"
"72090300441","2025-01-07","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  26.3","24","  19.9","24","9999.9"," 0","011.8","24"," 10.0","24","  4.3","24"," 13.0"," 18.1","  28.4"," ","  23.9"," ","99.99"," ","999.9","001000"
"72090300441","2025-01-08","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  22.2","24","  15.0","24","9999.9"," 0","012.8","24"," 10.0","24","  3.6","24","  9.9","999.9","  26.2"," ","  14.2"," ","99.99"," ","999.9","001000"
"72090300441","2025-01-09","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  11.0","24","   6.1","24","9999.9"," 0","009.9","24","  7.7","24","  1.4","24","  8.0","999.9","  24.8"," ","  -2.4"," "," 0.00","I","999.9","100000"
"72090300441","2025-01-10","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  20.4","24","  17.5","24","9999.9"," 0","002.2","24","  5.7","24","  0.9","24","  7.0","999.9","  27.1"," ","   9.0"," "," 0.07","A","999.9","001000"
"72090300441","2025-01-11","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  27.9","24","  24.4","24","9999.9"," 0","994.1","24","  7.9","24","  5.8","24","  9.9","999.9","  32.0"," ","  19.6"," "," 0.01","A","999.9","001000"
"72090300441","2025-01-12","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  27.2","24","  22.7","24","9999.9"," 0","997.5","24","  9.8","24","  8.4","24"," 15.0"," 21.0","  36.5"," ","  12.7"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-13","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  25.6","24","  17.5","24","9999.9"," 0","004.8","24"," 10.0","24","  8.4","24"," 13.0"," 18.1","  35.2"," ","  14.7"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-14","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  15.0","24","   6.4","24","9999.9"," 0","009.7","24"," 10.0","24","  5.5","24"," 14.0"," 19.0","  28.8"," ","   0.5"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-15","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","   8.1","24","   1.1","24","9999.9"," 0","016.2","24","  9.7","24","  1.8","24","  8.0","999.9","  19.2"," ","  -4.5"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-16","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  26.2","24","  17.8","24","9999.9"," 0","002.6","24"," 10.0","24","  8.6","24"," 15.0"," 20.0","  37.4"," ","  10.2"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-17","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  30.7","24","  25.1","24","9999.9"," 0","999.0","24","  9.5","24","  7.2","24"," 17.1"," 20.0","  42.1"," ","  18.5"," "," 0.00","I","999.9","000000"
"72090300441","2025-01-18","38.70042","-87.12973","143.3","DAVIESS CO AIRPORT, IN US","  36.9","24","  32.0","24","9999.9"," 0","991.5","24","  9.0","24","  8.6","24"," 18.1"," 32.1","  46.0"," ","  32.5"," "," 0.15","G","999.9","010000"
