"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"96749099999","2025-01-01","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  80.6","24","  73.9","24","9999.9"," 0","999.9"," 0","  5.0","24","  7.5","24"," 13.0","999.9","  86.9"," ","  76.6","*","99.99"," ","999.9","010000"
"96749099999","2025-01-02","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  83.2","24","  73.8","24","9999.9"," 0","999.9"," 0","  5.2","24","  6.0","24"," 13.0","999.9","  90.3"," ","  73.4","*"," 0.00","I","999.9","000000"
"96749099999","2025-01-03","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  82.3","24","  74.7","24","9999.9"," 0","999.9"," 0","  4.8","24","  7.1","24"," 12.0","999.9","  88.7"," ","  73.4"," "," 0.00","I","999.9","000000"
"96749099999","2025-01-04","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  83.7","24","  72.7","24","9999.9"," 0","999.9"," 0","  5.8","24"," 10.5","24"," 15.9"," 22.0","  92.5"," ","  75.9"," ","99.99"," ","999.9","010000"
"96749099999","2025-01-05","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  82.2","24","  72.7","24","9999.9"," 0","999.9"," 0","  5.3","24","  9.2","24"," 17.1","999.9","  92.5"," ","  75.2","*"," 0.00","B","999.9","010000"
"96749099999","2025-01-06","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  83.4","24","  73.8","24","9999.9"," 0","999.9"," 0","  5.1","24","  8.6","24"," 15.0","999.9","  92.3"," ","  75.2"," "," 0.00","I","999.9","000000"
"96749099999","2025-01-07","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  82.3","24","  74.2","24","9999.9"," 0","999.9"," 0","  4.7","24","  8.2","24"," 15.0","999.9","  91.0"," ","  75.2","*","99.99"," ","999.9","010000"
"96749099999","2025-01-08","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  80.7","24","  74.9","24","9999.9"," 0","999.9"," 0","  4.2","24","  6.2","24"," 12.0","999.9","  87.8","*","  73.6"," "," 1.43","B","999.9","010010"
"96749099999","2025-01-09","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  80.0","24","  75.3","24","9999.9"," 0","999.9"," 0","  4.7","24","  4.6","24"," 11.1","999.9","  84.9"," ","  73.4"," "," 0.08","A","999.9","010010"
"96749099999","2025-01-10","-6.125567","106.655897","10.36","SOEKARNO HATTA INTERNATIONAL, ID","  81.7","24","  74.6","24","9999.9"," 0","999.9"," 0","  4.5","24","  6.5","24"," 15.9"," 21.0","  89.6","*","  74.7","*"," 0.12","A","999.9","010010"
