"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"11643099999","2025-01-01","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  30.9","24","  24.0","24","9999.9"," 0","922.2","24"," 16.7","24","  6.7","24"," 11.7"," 21.4","  33.8","*","  27.7"," "," 0.00","I","999.9","000000"
"11643099999","2025-01-02","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  32.0","24","  24.2","24","9999.9"," 0","912.8","24"," 13.5","24","  2.6","24","  5.8","999.9","  39.2","*","  25.0","*"," 0.02","G","999.9","011000"
"11643099999","2025-01-03","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  25.9","24","  20.7","24","9999.9"," 0","914.5","24","  5.2","24","  5.5","24","  7.8"," 21.4","  27.5","*","  22.6","*"," 0.21","G","  0.4","001000"
"11643099999","2025-01-04","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  23.2","24","  18.5","24","9999.9"," 0","919.9","24","  5.9","24","  4.0","24","  7.8","999.9","  24.8","*","  21.0"," "," 0.52","G","999.9","001000"
"11643099999","2025-01-05","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  23.6","24","  20.3","24","9999.9"," 0","910.9","24","  9.3","24","  2.8","24","  5.8","999.9","  33.8","*","  19.6","*"," 0.07","G","  0.4","011000"
"11643099999","2025-01-06","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  35.3","24","  33.8","24","9999.9"," 0","904.9","24","  7.9","24","  4.0","24","  7.8","999.9","  38.7","*","  22.8"," "," 0.69","G"," 13.8","110000"
"11643099999","2025-01-07","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  33.1","24","  30.5","24","9999.9"," 0","908.2","24"," 11.9","24","  5.3","24","  9.7"," 23.3","  37.8","*","  28.6","*"," 0.07","G","  0.4","011000"
"11643099999","2025-01-08","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  28.6","24","  26.3","24","9999.9"," 0","909.3","24"," 12.1","24","  3.5","24","  7.8"," 17.5","  29.5","*","  27.5","*"," 0.63","G","  0.4","001000"
"11643099999","2025-01-09","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  34.1","24","  32.5","24","9999.9"," 0","905.6","24","  6.5","24","  3.3","24","  7.8"," 13.6","  38.7","*","  27.5"," "," 0.70","G","  0.4","011000"
"11643099999","2025-01-10","50.7","15.7333333","820.59","PEC POD SNEZKOU, EZ","  26.4","24","  22.9","24","9999.9"," 0","913.7","24","  1.6","24","  5.7","24","  9.7"," 23.3","  28.0","*","  25.0","*"," 0.66","G","  0.8","001000"
