"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"15481099999","2025-01-01","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  38.4","24","  33.2","24","9999.9"," 0","999.9"," 0","  5.8","24","  9.2","24"," 15.0","999.9","  50.0","*","  32.0","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-02","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  40.2","24","  32.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  9.0","24"," 14.0","999.9","  53.6","*","  33.8","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-03","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  41.2","24","  34.0","24","9999.9"," 0","999.9"," 0","  6.1","24","  8.9","24"," 13.0","999.9","  50.0","*","  33.8","*","99.99"," ","999.9","010000"
"15481099999","2025-01-04","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  35.6","24","  33.4","24","9999.9"," 0","999.9"," 0","  4.5","24","  7.2","24"," 12.0","999.9","  41.0","*","  28.4","*","99.99"," ","999.9","010000"
"15481099999","2025-01-05","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  33.6","24","  27.1","24","9999.9"," 0","999.9"," 0","  6.1","24","  6.5","24","  8.9","999.9","  44.6","*","  26.6","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-06","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  38.9","24","  33.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.2","24"," 12.0","999.9","  53.6","*","  30.2","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-07","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  43.8","24","  38.7","24","9999.9"," 0","999.9"," 0","  6.2","24","  6.7","24","  8.9","999.9","  59.0","*","  32.0","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-08","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  48.6","24","  43.9","24","9999.9"," 0","999.9"," 0","  6.1","24","  7.6","24"," 11.1","999.9","  60.8","*","  41.0","*"," 0.00","I","999.9","000000"
"15481099999","2025-01-09","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  49.2","24","  43.5","24","9999.9"," 0","999.9"," 0","  5.5","24","  6.5","24","  8.9","999.9","  64.4","*","  41.0","*"," 0.00","I","999.9","100000"
"15481099999","2025-01-10","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  48.1","24","  44.5","24","9999.9"," 0","999.9"," 0","  4.2","24","  8.2","24"," 25.1","999.9","  60.8","*","  39.2","*","99.99"," ","999.9","110000"
"15481099999","2025-01-11","44.362222","28.488333","107.59","MIHAIL KOGALNICEANU, RO","  35.3","24","  33.7","24","9999.9"," 0","999.9"," 0","  5.7","24","  8.1","24"," 24.1","999.9","  39.2","*","  30.2","*","99.99"," ","999.9","011000"
